longitude,latitude,housing_age,total_rooms,households,median_income,house_value,ocean_proximity
-117.75,33.84,16,3491,509,6.6207,270500,<1H OCEAN
-117.76,33.83,15,3086,436,6.4415,300700,<1H OCEAN
-117.77,33.84,5,4380,741,6.7274,266400,<1H OCEAN
-117.75,33.83,14,2452,275,8.2375,388300,<1H OCEAN
-117.74,33.85,4,5416,583,6.9544,314000,<1H OCEAN
-117.78,33.82,12,6208,739,9.1808,413700,<1H OCEAN
-117.81,33.8,25,2765,474,6.0531,230700,<1H OCEAN
-117.81,33.79,25,5950,1064,4.2564,204600,<1H OCEAN
-117.8,33.81,14,1206,149,8.847,388700,<1H OCEAN
-117.8,33.78,18,3548,449,6.925,290300,<1H OCEAN
-117.8,33.78,17,4138,780,4.7804,242000,<1H OCEAN
-117.69,33.8,5,3178,581,5.2541,237100,<1H OCEAN
-117.66,33.61,16,2022,270,8.4112,286900,<1H OCEAN
-117.66,33.62,16,4065,636,6.2177,256600,<1H OCEAN
-117.67,33.61,24,3859,624,5.7871,227400,<1H OCEAN
-117.66,33.61,17,3464,530,6.0471,248400,<1H OCEAN
-117.66,33.61,21,1932,286,7.1497,274000,<1H OCEAN
-117.66,33.6,24,1684,230,6.8667,279600,<1H OCEAN
-117.66,33.6,25,3745,496,7.5488,278100,<1H OCEAN
-117.67,33.61,23,3588,569,6.1401,243200,<1H OCEAN
-117.68,33.63,16,5218,1125,3.929,143100,<1H OCEAN
-117.68,33.63,13,5830,891,6.2403,257400,<1H OCEAN
-117.67,33.63,9,5774,1265,4.4063,202200,<1H OCEAN
-117.62,33.77,43,1911,433,4.6369,186400,<1H OCEAN
-117.6,33.72,36,1317,214,5.6346,272500,<1H OCEAN
-117.67,33.6,25,3164,453,6.7921,266000,<1H OCEAN
-117.66,33.59,18,4552,671,7.5791,288100,<1H OCEAN
-117.67,33.6,20,1213,170,7.2592,314800,<1H OCEAN
-117.66,33.58,16,3016,382,7.5196,315600,<1H OCEAN
-117.67,33.57,18,1614,209,7.9294,280300,<1H OCEAN
-117.66,33.57,16,4277,549,8.0082,286600,<1H OCEAN
-117.7,33.62,16,9653,1922,3.7361,197200,<1H OCEAN
-117.69,33.62,18,4265,544,6.4598,282700,<1H OCEAN
-117.68,33.61,19,2962,440,6.0689,248000,<1H OCEAN
-117.69,33.61,16,3010,538,4.0221,236200,<1H OCEAN
-117.68,33.6,19,3913,454,7.2147,303900,<1H OCEAN
-117.65,33.65,16,1538,259,5.5779,234800,<1H OCEAN
-117.66,33.64,17,3173,520,6.7079,250800,<1H OCEAN
-117.67,33.64,11,2722,508,5.1645,164100,<1H OCEAN
-117.66,33.65,13,8527,1393,6.2242,237900,<1H OCEAN
-117.65,33.65,15,3485,485,6.7543,251900,<1H OCEAN
-117.65,33.63,16,3388,427,8.4471,351300,<1H OCEAN
-117.65,33.65,15,4713,673,7.5426,294800,<1H OCEAN
-117.66,33.63,16,3299,604,5.5085,223300,<1H OCEAN
-117.63,33.65,10,3580,467,7.7814,288700,<1H OCEAN
-117.62,33.64,2,7826,790,10.1531,484100,<1H OCEAN
-117.64,33.63,10,4814,588,8.798,436600,<1H OCEAN
-117.64,33.64,11,2422,395,6.1935,293200,<1H OCEAN
-117.64,33.65,4,6842,1439,5.4132,216600,<1H OCEAN
-117.63,33.62,9,4257,745,3.7139,196700,<1H OCEAN
-117.63,33.63,6,3068,536,4.2009,238000,<1H OCEAN
-117.65,33.62,15,2708,389,6.2899,275000,<1H OCEAN
-117.64,33.62,16,3970,734,3.4115,184800,<1H OCEAN
-117.66,33.62,16,5175,813,6.1493,257800,<1H OCEAN
-117.65,33.6,15,5736,762,6.4114,278700,<1H OCEAN
-117.64,33.61,14,5232,839,5.826,247900,<1H OCEAN
-117.65,33.6,13,2319,380,5.133,316100,<1H OCEAN
-117.64,33.59,4,3274,390,8.1611,348000,<1H OCEAN
-117.66,33.58,6,4186,541,9.6986,357600,<1H OCEAN
-117.65,33.57,5,1998,446,4.3542,195600,<1H OCEAN
-117.65,33.58,2,2411,217,7.8061,331400,<1H OCEAN
-117.66,33.57,16,2483,400,5.5545,214200,<1H OCEAN
-117.65,33.59,8,2649,354,8.0409,337900,<1H OCEAN
-117.67,33.54,16,2102,328,4.7981,170800,<1H OCEAN
-117.67,33.54,15,2423,423,4.8906,181800,<1H OCEAN
-117.67,33.55,6,3157,710,3.7609,222300,<1H OCEAN
-117.67,33.56,4,3289,632,4.6863,184400,<1H OCEAN
-117.64,33.51,15,1743,274,5.9339,286000,<1H OCEAN
-117.64,33.51,14,1343,184,7.2648,363200,<1H OCEAN
-117.55,33.52,15,426,45,5.136,447400,<1H OCEAN
-117.59,33.61,3,2993,390,10.0765,378200,<1H OCEAN
-117.58,33.6,5,5348,555,11.0567,495400,<1H OCEAN
-117.49,33.64,3,8874,1027,6.8588,302000,<1H OCEAN
-117.59,33.67,29,1223,204,6.5143,279800,<1H OCEAN
-117.53,33.69,6,454,43,10.9704,483300,<1H OCEAN
-117.59,33.66,3,1206,287,5.1589,167800,<1H OCEAN
-117.58,33.66,4,3305,597,5.2497,215000,<1H OCEAN
-117.58,33.65,4,2000,386,5.7709,190300,<1H OCEAN
-117.59,33.66,4,1318,225,6.0722,260800,<1H OCEAN
-117.59,33.65,2,4860,1073,4.5022,151900,<1H OCEAN
-117.6,33.65,4,3134,485,6.2464,233900,<1H OCEAN
-117.61,33.67,3,4541,583,6.8004,284900,<1H OCEAN
-117.64,33.66,6,5221,1119,4.6076,204000,<1H OCEAN
-117.59,33.65,4,1793,386,4.2463,182800,<1H OCEAN
-117.61,33.63,2,4678,712,6.1078,219000,<1H OCEAN
-117.67,33.46,24,3571,543,4.6518,277800,<1H OCEAN
-117.67,33.46,18,1679,257,5.3999,300000,<1H OCEAN
-117.66,33.46,26,2073,340,5.0877,288100,<1H OCEAN
-117.66,33.46,28,1261,242,5.1024,312700,<1H OCEAN
-117.65,33.49,16,2223,382,4.3603,248800,<1H OCEAN
-117.64,33.49,3,2516,337,5.6197,271600,<1H OCEAN
-117.65,33.48,10,3484,556,5.4188,402200,<1H OCEAN
-117.63,33.5,12,3619,492,7.2013,353600,<1H OCEAN
-117.65,33.46,19,7034,1068,6.0873,277300,<1H OCEAN
-117.64,33.48,12,2007,373,5.6754,275900,<1H OCEAN
-117.76,33.48,38,3832,636,5.0044,381200,<1H OCEAN
-117.73,33.53,3,6388,819,7.8915,420600,<1H OCEAN
-117.72,33.54,13,4866,733,4.9821,244800,<1H OCEAN
-117.72,33.53,14,1672,293,5.1129,251300,<1H OCEAN
-117.72,33.51,17,3617,571,5.133,324000,<1H OCEAN
-117.73,33.51,5,4549,632,6.1785,295900,<1H OCEAN
-117.69,33.6,19,3562,470,6.4211,288100,<1H OCEAN
-117.68,33.6,24,1956,256,6.8154,265900,<1H OCEAN
-117.69,33.6,17,2150,335,5.4622,227000,<1H OCEAN
-117.7,33.6,16,2092,392,3.0461,216900,<1H OCEAN
-117.69,33.6,16,2205,402,3.475,279500,<1H OCEAN
-117.69,33.6,12,3258,435,6.5413,332000,<1H OCEAN
-117.69,33.59,13,3320,431,7.9283,348100,<1H OCEAN
-117.68,33.59,12,3473,450,8.8636,314000,<1H OCEAN
-117.69,33.58,5,6678,982,7.5177,330000,<1H OCEAN
-117.68,33.47,7,4458,704,6.126,285600,<1H OCEAN
-117.68,33.48,15,1786,293,5.0527,231400,<1H OCEAN
-117.68,33.49,17,2232,385,4.245,214500,<1H OCEAN
-117.68,33.49,16,3084,690,2.8357,106300,<1H OCEAN
-117.67,33.49,15,2782,525,2.1935,183300,<1H OCEAN
-117.67,33.49,10,366,61,8.163,250000,<1H OCEAN
-117.68,33.51,19,2930,430,6.323,480800,<1H OCEAN
-117.68,33.49,18,4173,634,6.3568,294300,<1H OCEAN
-117.69,33.48,25,3240,497,6.1815,288500,<1H OCEAN
-117.69,33.47,13,2020,290,5.756,305600,<1H OCEAN
-117.66,33.51,18,2626,522,4.0167,189600,<1H OCEAN
-117.66,33.5,16,1956,326,4.4732,186300,<1H OCEAN
-117.67,33.51,17,2112,433,4.0388,120400,<1H OCEAN
-117.67,33.51,18,1645,355,3.4792,126400,<1H OCEAN
-117.67,33.51,19,1258,227,2.9762,184400,<1H OCEAN
-117.69,33.47,23,3499,634,3.86,300000,<1H OCEAN
-117.7,33.47,20,1577,333,4.1563,320800,<1H OCEAN
-117.7,33.47,21,2208,482,3.5915,305600,<1H OCEAN
-117.69,33.47,19,2595,571,3.668,243800,<1H OCEAN
-117.7,33.47,21,1857,380,3.8403,350000,<1H OCEAN
-117.68,33.55,5,2262,402,6.065,315500,<1H OCEAN
-117.68,33.54,5,2840,403,7.618,341400,<1H OCEAN
-117.68,33.52,5,3621,567,5.753,322800,<1H OCEAN
-117.69,33.55,9,3856,576,6.8007,318300,<1H OCEAN
-117.69,33.54,20,1767,284,6.5394,272000,<1H OCEAN
-117.69,33.53,17,5041,801,6.0868,282900,<1H OCEAN
-117.69,33.52,4,2142,483,3.4455,325000,<1H OCEAN
-117.7,33.51,2,5261,599,6.8279,279000,<1H OCEAN
-117.69,33.52,3,7374,1279,4.538,278200,<1H OCEAN
-117.7,33.53,5,6698,1139,5.9088,288500,<1H OCEAN
-117.71,33.52,17,2486,361,6.1007,340900,<1H OCEAN
-117.71,33.51,11,2198,281,13.1477,487000,<1H OCEAN
-117.69,33.55,4,1764,224,8.3275,384200,<1H OCEAN
-117.69,33.55,3,1618,246,6.0743,274300,<1H OCEAN
-117.7,33.54,4,4956,625,7.9338,354700,<1H OCEAN
-117.7,33.55,12,2459,391,7.1736,262100,<1H OCEAN
-117.7,33.56,2,2112,261,6.9343,298500,<1H OCEAN
-117.7,33.56,3,2443,548,4.1379,183300,<1H OCEAN
-117.7,33.57,4,3283,782,3.3125,138500,<1H OCEAN
-117.71,33.54,7,4907,556,10.4415,453800,<1H OCEAN
-117.71,33.54,15,2460,320,7.3878,318300,<1H OCEAN
-117.71,33.58,2,2530,510,4.6336,187500,<1H OCEAN
-117.7,33.57,9,1204,293,3.6196,119900,<1H OCEAN
-117.71,33.57,4,3289,651,4.045,226000,<1H OCEAN
-117.71,33.57,6,3673,768,4.877,144300,<1H OCEAN
-117.68,33.51,4,2428,386,6.2661,268500,<1H OCEAN
-117.69,33.51,4,1223,244,4.6607,173000,<1H OCEAN
-117.7,33.5,4,2351,397,5.5677,245400,<1H OCEAN
-117.71,33.49,5,1680,231,8.583,397700,<1H OCEAN
-117.7,33.5,4,7474,1007,8.7591,434700,<1H OCEAN
-117.7,33.48,10,3458,470,6.3579,336700,<1H OCEAN
-117.7,33.48,6,16590,2357,6.3088,340300,<1H OCEAN
-117.71,33.47,14,3894,629,6.5206,368500,<1H OCEAN
-117.74,33.46,9,6564,904,4.89,454100,<1H OCEAN
-117.71,33.47,17,2681,410,5.5507,345700,<1H OCEAN
-117.7,33.68,29,5650,1056,2.8192,162500,<1H OCEAN
-117.76,33.71,14,4321,578,8.3634,355100,<1H OCEAN
-117.75,33.71,15,2849,520,3.2841,158300,<1H OCEAN
-117.76,33.7,12,4025,588,7.9125,344900,<1H OCEAN
-117.77,33.71,15,2102,303,7.3141,337100,<1H OCEAN
-117.77,33.7,3,3636,696,5.5464,207500,<1H OCEAN
-117.77,33.7,4,2446,560,3.7147,137500,<1H OCEAN
-117.69,33.65,16,5805,795,6.1062,274600,<1H OCEAN
-117.71,33.65,16,3774,430,8.6088,307400,<1H OCEAN
-117.7,33.65,16,3388,463,6.1863,355600,<1H OCEAN
-117.71,33.64,14,2945,335,8.111,308900,<1H OCEAN
-117.71,33.63,16,1565,280,5.8399,220600,<1H OCEAN
-117.71,33.63,16,2497,456,4.5909,241800,<1H OCEAN
-117.71,33.63,16,1641,318,3.4261,219700,<1H OCEAN
-117.7,33.63,16,4428,682,5.2325,286800,<1H OCEAN
-117.72,33.64,16,1230,246,2.2969,67500,<1H OCEAN
-117.7,33.62,19,2957,495,5.0686,225600,<1H OCEAN
-117.7,33.63,23,3038,436,5.5584,241700,<1H OCEAN
-117.71,33.62,22,2520,391,5.8898,242800,<1H OCEAN
-117.76,33.72,11,4508,573,10.4498,386100,<1H OCEAN
-117.76,33.72,14,3011,371,7.9739,368700,<1H OCEAN
-117.75,33.72,10,2464,366,8.7603,362500,<1H OCEAN
-117.76,33.72,15,941,248,4.3636,148400,<1H OCEAN
-117.76,33.71,15,1010,342,3.2229,108300,<1H OCEAN
-117.74,33.73,18,328,60,4.1167,87500,<1H OCEAN
-117.69,33.66,11,2630,352,8.2953,350500,<1H OCEAN
-117.69,33.66,5,4246,722,6.9501,225700,<1H OCEAN
-117.67,33.67,5,10534,1863,5.7797,309200,<1H OCEAN
-117.67,33.66,4,10175,1929,4.7341,237400,<1H OCEAN
-117.68,33.65,6,10395,1811,5.928,239900,<1H OCEAN
-117.64,33.68,4,5687,938,6.5069,243400,<1H OCEAN
-117.69,33.65,15,5394,706,7.5619,302000,<1H OCEAN
-117.7,33.64,15,5743,773,8.1926,326600,<1H OCEAN
-117.69,33.63,23,1444,253,4.9079,273800,<1H OCEAN
-117.69,33.64,18,3783,623,5.7559,215800,<1H OCEAN
-117.69,33.64,16,2592,383,6.9741,262000,<1H OCEAN
-117.82,33.71,9,5206,978,2.885,162500,<1H OCEAN
-117.82,33.72,24,3260,442,6.5987,272800,<1H OCEAN
-117.81,33.73,17,1063,183,2.1719,261300,<1H OCEAN
-117.8,33.72,16,2617,511,4.821,201400,<1H OCEAN
-117.81,33.71,16,2666,347,7.3769,302400,<1H OCEAN
-117.82,33.72,24,3477,484,6.8634,276500,<1H OCEAN
-117.77,33.7,15,1392,263,5.4248,187200,<1H OCEAN
-117.77,33.69,14,1413,338,3.7988,184100,<1H OCEAN
-117.77,33.69,15,500,116,5.0631,154000,<1H OCEAN
-117.77,33.69,16,1666,336,2.1406,55000,<1H OCEAN
-117.78,33.69,16,4702,814,5.1299,238900,<1H OCEAN
-117.78,33.68,19,2500,327,6.115,315600,<1H OCEAN
-117.78,33.69,16,3400,488,6.0961,295500,<1H OCEAN
-117.8,33.69,16,2745,411,6.8219,325500,<1H OCEAN
-117.79,33.69,16,1532,248,5.7115,313900,<1H OCEAN
-117.79,33.68,16,1998,299,6.8722,326100,<1H OCEAN
-117.8,33.68,14,2635,499,4.4391,306700,<1H OCEAN
-117.8,33.69,14,1800,373,4.2083,251000,<1H OCEAN
-117.8,33.69,15,2099,307,7.9887,328000,<1H OCEAN
-117.8,33.68,5,623,136,3.631,225000,<1H OCEAN
-117.8,33.68,8,2032,340,6.9133,274100,<1H OCEAN
-117.81,33.67,8,2098,329,7.7589,342900,<1H OCEAN
-117.81,33.67,8,2440,483,4.6019,242500,<1H OCEAN
-117.81,33.67,9,1567,294,5.2124,199600,<1H OCEAN
-117.81,33.67,9,2435,385,7.2025,275000,<1H OCEAN
-117.81,33.67,9,3279,510,7.4581,296600,<1H OCEAN
-117.81,33.68,8,1964,406,5.1583,192200,<1H OCEAN
-117.78,33.68,15,1834,309,6.0634,234300,<1H OCEAN
-117.78,33.68,14,1750,300,4.6793,236800,<1H OCEAN
-117.79,33.68,13,2636,404,7.2118,311500,<1H OCEAN
-117.78,33.68,11,1994,411,4.0187,235600,<1H OCEAN
-117.79,33.68,9,1633,297,5.7858,265900,<1H OCEAN
-117.79,33.68,10,2106,332,8.735,375300,<1H OCEAN
-117.8,33.67,5,2638,480,5.7759,240000,<1H OCEAN
-117.8,33.67,5,2487,397,8.284,302500,<1H OCEAN
-117.8,33.67,4,3345,539,6.7962,329100,<1H OCEAN
-117.81,33.69,5,1256,288,2.4233,450000,<1H OCEAN
-117.82,33.68,4,1346,219,8.7974,360600,<1H OCEAN
-117.82,33.68,3,3068,486,7.9187,333600,<1H OCEAN
-117.82,33.67,17,2895,450,6.276,290700,<1H OCEAN
-117.83,33.68,4,3226,800,4.1652,184500,<1H OCEAN
-117.82,33.68,3,7105,1241,6.1395,358000,<1H OCEAN
-117.77,33.67,12,4329,978,4.5094,160200,<1H OCEAN
-117.77,33.72,10,2815,398,6.5743,278700,<1H OCEAN
-117.77,33.72,9,2153,324,7.8139,304700,<1H OCEAN
-117.77,33.71,13,1939,244,8.1111,379800,<1H OCEAN
-117.77,33.71,5,4050,598,7.5847,375700,<1H OCEAN
-117.77,33.71,4,1646,300,5.5631,227800,<1H OCEAN
-117.78,33.71,16,2207,308,7.3518,331200,<1H OCEAN
-117.78,33.71,4,974,203,4.6141,195400,<1H OCEAN
-117.79,33.73,3,8240,1270,7.2074,291300,<1H OCEAN
-117.78,33.7,16,1663,204,5.409,233900,<1H OCEAN
-117.79,33.7,16,6259,1114,6.3298,247100,<1H OCEAN
-117.79,33.71,16,3114,469,6.2162,283200,<1H OCEAN
-117.79,33.71,16,6339,825,7.1069,313400,<1H OCEAN
-117.79,33.7,6,1593,379,4.4286,239500,<1H OCEAN
-117.8,33.7,5,1549,355,5.2923,194000,<1H OCEAN
-117.79,33.7,16,1416,244,5.1741,227700,<1H OCEAN
-117.79,33.69,15,1875,316,6.5783,244800,<1H OCEAN
-117.79,33.69,16,3067,372,8.7385,340000,<1H OCEAN
-117.8,33.69,13,1161,296,3.3438,333300,<1H OCEAN
-117.8,33.55,38,1757,426,4.1304,433300,<1H OCEAN
-117.77,33.6,33,247,70,3.7059,237500,<1H OCEAN
-117.78,33.54,29,1421,339,2.2969,450000,<1H OCEAN
-117.79,33.55,39,5066,1117,3.821,452100,<1H OCEAN
-117.75,33.54,21,8711,1396,5.0907,378200,<1H OCEAN
-117.77,33.55,28,2024,274,6.7861,499100,<1H OCEAN
-117.73,33.57,5,11976,2009,4.8488,194400,<1H OCEAN
-117.86,33.67,16,20,5,3.875,450000,<1H OCEAN
-117.82,33.67,15,1010,261,2.5197,350000,<1H OCEAN
-117.83,33.67,17,2634,560,3.7976,275000,<1H OCEAN
-117.83,33.66,15,2355,450,6.5356,272800,<1H OCEAN
-117.83,33.66,16,1574,363,5.3423,291700,<1H OCEAN
-117.81,33.67,24,3930,616,6.3767,269000,<1H OCEAN
-117.8,33.66,16,2542,494,4,223400,<1H OCEAN
-117.81,33.66,16,1414,230,10.0757,383900,<1H OCEAN
-117.81,33.66,20,2851,463,5.8752,274200,<1H OCEAN
-117.82,33.66,24,4227,589,6.4238,278400,<1H OCEAN
-117.84,33.64,11,6840,1629,2.4132,198300,<1H OCEAN
-117.76,33.54,28,2250,323,6.9257,466400,<1H OCEAN
-117.77,33.54,47,3090,582,4.1699,373700,<1H OCEAN
-117.77,33.53,46,1033,224,3.2708,384700,<1H OCEAN
-117.76,33.53,28,3085,480,7.9794,426100,<1H OCEAN
-117.76,33.53,18,3224,580,8.4614,391900,<1H OCEAN
-117.77,33.53,32,3116,543,5.1837,445600,<1H OCEAN
-117.73,33.63,15,2874,586,5.5137,161800,<1H OCEAN
-117.74,33.62,16,4134,745,5.6877,231400,<1H OCEAN
-117.75,33.64,9,2499,542,5.5342,182300,<1H OCEAN
-117.72,33.62,21,2322,457,3.1679,110000,<1H OCEAN
-117.72,33.62,19,1144,279,2.8583,105800,<1H OCEAN
-117.71,33.61,25,3004,626,2.395,80300,<1H OCEAN
-117.72,33.63,15,1362,202,1.9,162500,<1H OCEAN
-117.72,33.62,19,5777,1225,2.7634,86900,<1H OCEAN
-117.73,33.61,16,590,121,4.8611,186800,<1H OCEAN
-117.74,33.62,16,1889,537,3.4706,241700,<1H OCEAN
-117.74,33.61,16,2753,546,3.7422,229800,<1H OCEAN
-117.74,33.61,17,2116,443,3.5625,180800,<1H OCEAN
-117.75,33.61,17,2499,522,3.1779,186500,<1H OCEAN
-117.75,33.6,5,4944,948,4.9,255600,<1H OCEAN
-117.75,33.61,16,2270,489,3.2845,227600,<1H OCEAN
-117.73,33.61,17,2612,564,2.6759,120600,<1H OCEAN
-117.7,33.61,16,2371,686,3.6484,322600,<1H OCEAN
-117.7,33.6,26,2283,469,2.3774,74300,<1H OCEAN
-117.71,33.6,8,3329,629,3.5521,229800,<1H OCEAN
-117.71,33.6,25,3011,654,2.3387,74800,<1H OCEAN
-117.72,33.61,26,2033,450,2.5685,80400,<1H OCEAN
-117.72,33.61,26,2653,584,2.49,81100,<1H OCEAN
-117.71,33.61,26,3046,663,2.6848,74100,<1H OCEAN
-117.71,33.61,26,2280,502,2.3438,72300,<1H OCEAN
-117.71,33.6,25,1949,428,2.7601,72500,<1H OCEAN
-117.7,33.6,26,1021,208,2.625,80600,<1H OCEAN
-117.7,33.6,25,1321,278,3.1131,77100,<1H OCEAN
-117.7,33.59,11,8039,1571,4.1678,190900,<1H OCEAN
-117.84,33.66,5,665,171,4.5833,230400,<1H OCEAN
-117.84,33.66,5,1688,402,3.7857,231600,<1H OCEAN
-117.84,33.65,4,1649,411,2.2262,225000,<1H OCEAN
-117.83,33.66,4,1011,198,7.9217,296200,<1H OCEAN
-117.83,33.65,9,638,234,3.7875,187500,<1H OCEAN
-117.83,33.65,8,2149,399,4.1103,250400,<1H OCEAN
-117.82,33.66,15,2460,398,6.4967,387500,<1H OCEAN
-117.81,33.63,17,4477,612,8.1093,410400,<1H OCEAN
-117.82,33.65,18,2105,286,6.3822,362500,<1H OCEAN
-117.8,33.63,8,32,11,4.1944,270800,<1H OCEAN
-117.8,33.64,8,4447,705,8.8693,450400,<1H OCEAN
-117.8,33.63,15,3236,416,11.1121,493000,<1H OCEAN
-117.81,33.64,16,2404,329,11.0138,442100,<1H OCEAN
-117.87,33.6,34,3415,718,4.498,482900,<1H OCEAN
-117.88,33.63,21,9565,1831,4.7024,345400,<1H OCEAN
-117.89,33.62,24,1016,236,3.0625,93800,<1H OCEAN
-117.88,33.64,16,3615,559,8.5574,392200,<1H OCEAN
-117.89,33.61,16,2413,423,6.3017,350000,<1H OCEAN
-117.88,33.65,24,4879,754,5.9055,477300,<1H OCEAN
-117.91,33.63,20,3442,977,3.1985,106300,<1H OCEAN
-117.9,33.63,32,3556,537,6.1426,450700,<1H OCEAN
-117.9,33.63,26,1632,375,3.2125,455000,<1H OCEAN
-117.88,33.66,26,6017,1135,3.5426,295400,<1H OCEAN
-117.89,33.66,33,3595,732,4.1372,265200,<1H OCEAN
-117.9,33.66,13,1642,368,3.6042,226000,<1H OCEAN
-117.9,33.65,24,4496,855,4.6808,245500,<1H OCEAN
-117.89,33.66,32,2736,534,5.5422,253100,<1H OCEAN
-117.9,33.65,27,3310,563,6.632,441100,<1H OCEAN
-117.9,33.64,28,2466,465,3.9375,339800,<1H OCEAN
-117.9,33.65,28,2043,452,5.2549,261800,<1H OCEAN
-117.9,33.65,30,2196,460,4.4135,272300,<1H OCEAN
-117.91,33.65,24,885,254,2.625,217900,<1H OCEAN
-117.9,33.65,30,1634,364,3.4125,284100,<1H OCEAN
-117.91,33.65,17,1328,344,2.2222,276800,<1H OCEAN
-117.91,33.64,37,1998,436,3.9306,268400,<1H OCEAN
-117.9,33.64,36,2017,348,5.0532,310900,<1H OCEAN
-117.91,33.64,29,1652,326,4.8098,325400,<1H OCEAN
-117.91,33.64,40,1958,364,3.6406,326100,<1H OCEAN
-117.91,33.63,32,1901,418,2.7264,311100,<1H OCEAN
-117.92,33.63,34,2479,490,4.9643,317900,<1H OCEAN
-117.91,33.63,30,2071,412,4.9125,335700,<1H OCEAN
-117.92,33.64,25,2224,516,3.1305,268800,<1H OCEAN
-117.91,33.64,38,2222,512,2.8553,307600,<1H OCEAN
-117.92,33.63,24,1562,347,3.5161,236400,<1H OCEAN
-117.91,33.63,32,1122,223,3.5388,407000,<1H OCEAN
-117.92,33.62,37,2038,381,5.2416,471300,<1H OCEAN
-117.92,33.63,39,1469,225,7.8496,490800,<1H OCEAN
-117.92,33.62,35,1821,316,6.5842,458500,<1H OCEAN
-117.92,33.61,18,1538,288,5.3369,312500,<1H OCEAN
-117.93,33.62,34,2125,468,5.6315,484600,<1H OCEAN
-117.94,33.62,28,1765,349,6.5928,439100,<1H OCEAN
-117.93,33.61,27,1806,358,3.8125,366700,<1H OCEAN
-117.94,33.65,20,5476,963,5.6637,222100,<1H OCEAN
-117.93,33.65,35,2133,402,4.4211,215200,<1H OCEAN
-117.93,33.64,31,1291,373,2.7143,185400,<1H OCEAN
-117.94,33.64,18,1867,399,2.6221,272000,<1H OCEAN
-117.93,33.64,24,1395,404,2.5301,192900,<1H OCEAN
-117.92,33.64,24,2539,611,3.0708,188700,<1H OCEAN
-117.94,33.64,24,1097,333,1.6389,225000,<1H OCEAN
-117.93,33.64,15,1707,434,2.7543,177800,<1H OCEAN
-117.95,33.63,27,2489,443,5.8777,358800,<1H OCEAN
-117.95,33.63,27,891,171,6,381500,<1H OCEAN
-117.93,33.63,10,2766,646,4.6161,226300,<1H OCEAN
-117.95,33.63,17,6745,1535,3.9917,271600,<1H OCEAN
-117.91,33.65,19,1589,394,4.1029,213400,<1H OCEAN
-117.92,33.64,5,949,244,2.75,225000,<1H OCEAN
-117.92,33.65,15,1309,424,3.4417,182500,<1H OCEAN
-117.93,33.65,29,1253,362,3.5179,225000,<1H OCEAN
-117.91,33.65,24,1494,459,2.1074,181300,<1H OCEAN
-117.92,33.65,28,1087,425,0.9702,225400,<1H OCEAN
-117.92,33.65,25,1679,473,4.1026,211500,<1H OCEAN
-117.92,33.65,20,1391,360,3.184,220000,<1H OCEAN
-117.93,33.65,27,1283,376,2.75,275000,<1H OCEAN
-117.92,33.68,28,3397,560,4.8125,244600,<1H OCEAN
-117.93,33.67,27,3512,481,8.1001,336500,<1H OCEAN
-117.94,33.67,26,2552,323,8.1839,367000,<1H OCEAN
-117.94,33.66,16,2095,411,5.5,224100,<1H OCEAN
-117.94,33.65,15,2016,419,5.2732,209700,<1H OCEAN
-117.93,33.65,34,2141,429,4.2036,220100,<1H OCEAN
-117.93,33.69,19,2602,424,5.01,263800,<1H OCEAN
-117.93,33.69,26,2822,469,6.4441,261000,<1H OCEAN
-117.92,33.68,25,2017,428,4.4732,245600,<1H OCEAN
-117.93,33.68,33,2664,429,5.069,264200,<1H OCEAN
-117.94,33.68,26,4183,520,7.4056,374200,<1H OCEAN
-117.92,33.67,14,6224,1589,4.2071,430900,<1H OCEAN
-117.93,33.66,18,2043,246,9.6062,414700,<1H OCEAN
-117.93,33.65,26,5831,1477,3.1483,213000,<1H OCEAN
-117.91,33.69,30,2704,423,5.2815,229500,<1H OCEAN
-117.91,33.67,16,7961,2116,3.512,218400,<1H OCEAN
-117.9,33.68,25,7060,1139,4.8359,249200,<1H OCEAN
-117.9,33.67,26,2507,392,6.1601,266100,<1H OCEAN
-117.89,33.68,26,2905,491,5.0853,260300,<1H OCEAN
-117.9,33.67,25,639,93,6.6833,275900,<1H OCEAN
-117.91,33.67,32,3058,569,4.4625,253500,<1H OCEAN
-117.91,33.66,26,5761,1116,4.0341,243300,<1H OCEAN
-117.91,33.65,14,2598,703,4.0417,180900,<1H OCEAN
-117.91,33.66,21,1708,434,3.225,193800,<1H OCEAN
-117.9,33.66,22,3568,938,3.1667,161000,<1H OCEAN
-117.9,33.66,4,456,84,6.6369,192600,<1H OCEAN
-117.9,33.69,13,9947,1582,5.422,316600,<1H OCEAN
-117.87,33.69,4,2337,655,3.7174,275000,<1H OCEAN
-117.89,33.68,8,5278,1371,3.3409,181300,<1H OCEAN
-117.88,33.69,20,5330,1000,5.2138,233100,<1H OCEAN
-117.86,33.71,21,1795,400,3.152,152800,<1H OCEAN
-117.86,33.71,36,191,37,3.375,157500,<1H OCEAN
-117.87,33.71,16,3397,621,4.9148,155500,<1H OCEAN
-117.87,33.71,13,1087,342,3.5326,262500,<1H OCEAN
-117.87,33.7,17,3216,618,4.9153,266400,<1H OCEAN
-117.87,33.7,21,3648,628,5.0956,246000,<1H OCEAN
-117.88,33.71,27,1596,289,4.1,184900,<1H OCEAN
