year,age,sex,maritl,race,education,wage
2006,58,1. Male,2. Married,1. White,1. < HS Grad,75.35567932
2008,52,1. Male,4. Divorced,2. Black,4. College Grad,95.23071257
2007,60,1. Male,1. Never Married,1. White,5. Advanced Degree,111.7208494
2008,39,1. Male,2. Married,1. White,3. Some College,103.9024706
2004,51,1. Male,2. Married,1. White,4. College Grad,147.1166892
2007,31,1. Male,1. Never Married,1. White,3. Some College,87.98103279
2005,45,1. Male,3. Widowed,1. White,2. HS Grad,118.8843593
2005,43,1. Male,1. Never Married,1. White,4. College Grad,100.7642728
2008,45,1. Male,2. Married,1. White,4. College Grad,120.5894365
2004,40,1. Male,2. Married,1. White,3. Some College,193.8668781
2008,46,1. Male,2. Married,1. White,2. HS Grad,118.8843593
2009,51,1. Male,2. Married,1. White,5. Advanced Degree,267.9010869
2006,47,1. Male,4. Divorced,1. White,4. College Grad,174.402876
2004,52,1. Male,2. Married,1. White,5. Advanced Degree,133.9715001
2003,31,1. Male,4. Divorced,1. White,2. HS Grad,154.685293
2007,40,1. Male,2. Married,2. Black,4. College Grad,154.685293
2009,26,1. Male,1. Never Married,1. White,4. College Grad,118.8843593
2004,49,1. Male,2. Married,1. White,2. HS Grad,95.23071257
2009,38,1. Male,4. Divorced,1. White,3. Some College,109.8339856
2005,50,1. Male,2. Married,4. Other,1. < HS Grad,111.7208494
2006,63,1. Male,2. Married,1. White,3. Some College,134.7053751
2008,35,1. Male,2. Married,1. White,1. < HS Grad,85.90104432
2008,29,1. Male,1. Never Married,1. White,2. HS Grad,118.8843593
2008,33,1. Male,2. Married,1. White,2. HS Grad,87.98103279
2007,29,1. Male,2. Married,1. White,2. HS Grad,92.89584479
2007,62,1. Male,4. Divorced,1. White,4. College Grad,109.8339856
2008,45,1. Male,2. Married,1. White,5. Advanced Degree,124.7204462
2003,56,1. Male,2. Married,1. White,1. < HS Grad,127.901233
2003,58,1. Male,2. Married,1. White,1. < HS Grad,97.49329405
2007,39,1. Male,2. Married,1. White,5. Advanced Degree,198.3502905
2005,49,1. Male,2. Married,1. White,3. Some College,92.89584479
2004,24,1. Male,1. Never Married,1. White,4. College Grad,94.07271475
2003,61,1. Male,4. Divorced,1. White,2. HS Grad,148.4131591
2008,58,1. Male,2. Married,1. White,4. College Grad,79.85490031
2009,47,1. Male,2. Married,3. Asian,3. Some College,118.8843593
2004,41,1. Male,5. Separated,1. White,4. College Grad,87.98103279
2008,71,1. Male,2. Married,1. White,1. < HS Grad,94.07271475
2006,47,1. Male,2. Married,1. White,3. Some College,150.0704769
2005,38,1. Male,2. Married,1. White,4. College Grad,176.9896505
2005,31,1. Male,1. Never Married,1. White,4. College Grad,73.77574327
2007,56,1. Male,2. Married,3. Asian,4. College Grad,125.1238157
2006,44,1. Male,1. Never Married,1. White,4. College Grad,277.7994802
2003,33,1. Male,2. Married,1. White,4. College Grad,107.9039239
2005,36,1. Male,1. Never Married,1. White,4. College Grad,60.73977852
2006,31,1. Male,2. Married,1. White,4. College Grad,92.0363233
2004,55,1. Male,2. Married,1. White,3. Some College,109.8339856
2005,48,1. Male,2. Married,1. White,4. College Grad,66.96164432
2005,50,1. Male,2. Married,1. White,3. Some College,114.4757133
2006,42,1. Male,2. Married,1. White,4. College Grad,170.6951277
2008,25,1. Male,1. Never Married,1. White,3. Some College,130.9821774
2008,55,1. Male,2. Married,1. White,2. HS Grad,127.1157438
2004,28,1. Male,1. Never Married,1. White,5. Advanced Degree,117.1468169
2003,30,1. Male,2. Married,4. Other,1. < HS Grad,123.0896998
2008,46,1. Male,1. Never Married,2. Black,4. College Grad,120.5894365
2004,48,1. Male,4. Divorced,1. White,5. Advanced Degree,130.9821774
2006,42,1. Male,4. Divorced,1. White,3. Some College,81.28325328
2008,23,1. Male,2. Married,1. White,4. College Grad,36.6737042
2003,60,1. Male,2. Married,1. White,5. Advanced Degree,104.9215065
2008,34,1. Male,2. Married,2. Black,1. < HS Grad,74.41296351
2003,45,1. Male,2. Married,1. White,4. College Grad,129.0678205
2007,28,1. Male,1. Never Married,1. White,3. Some College,84.10001012
2004,33,1. Male,2. Married,1. White,5. Advanced Degree,185.9186629
2008,58,1. Male,2. Married,1. White,2. HS Grad,105.9278108
2008,47,1. Male,2. Married,1. White,5. Advanced Degree,163.515864
2003,24,1. Male,1. Never Married,1. White,3. Some College,63.188861
2008,56,1. Male,2. Married,1. White,4. College Grad,134.7053751
2004,56,1. Male,2. Married,1. White,4. College Grad,120.9267015
2005,23,1. Male,1. Never Married,4. Other,4. College Grad,94.07271475
2003,56,1. Male,2. Married,1. White,5. Advanced Degree,132.4878211
2003,45,1. Male,2. Married,1. White,4. College Grad,133.2323508
2009,58,1. Male,2. Married,1. White,3. Some College,145.1436012
2007,30,1. Male,2. Married,3. Asian,5. Advanced Degree,118.8843593
2009,46,1. Male,2. Married,1. White,5. Advanced Degree,150.3306535
2004,48,1. Male,2. Married,1. White,5. Advanced Degree,278.9644667
2006,50,1. Male,4. Divorced,1. White,2. HS Grad,98.26923081
2008,43,1. Male,1. Never Married,1. White,4. College Grad,99.6894637
2006,37,1. Male,2. Married,1. White,1. < HS Grad,94.07271475
2003,49,1. Male,4. Divorced,1. White,3. Some College,176.9896505
2009,31,1. Male,2. Married,3. Asian,4. College Grad,166.3249412
2009,54,1. Male,2. Married,3. Asian,2. HS Grad,94.07271475
2007,52,1. Male,2. Married,1. White,4. College Grad,139.7030715
2003,70,1. Male,2. Married,1. White,2. HS Grad,78.3924668
2005,30,1. Male,2. Married,1. White,5. Advanced Degree,141.7758565
2006,44,1. Male,2. Married,1. White,2. HS Grad,116.2653241
2003,34,1. Male,2. Married,3. Asian,4. College Grad,148.4131591
2007,38,1. Male,2. Married,1. White,2. HS Grad,87.98103279
2006,28,1. Male,5. Separated,1. White,1. < HS Grad,90.48191336
2005,38,1. Male,2. Married,1. White,3. Some College,141.7751723
2003,39,1. Male,2. Married,1. White,2. HS Grad,63.09271673
2008,52,1. Male,1. Never Married,1. White,4. College Grad,65.11085372
2004,34,1. Male,1. Never Married,1. White,4. College Grad,151.5914842
2003,33,1. Male,2. Married,1. White,4. College Grad,123.0896998
2007,45,1. Male,2. Married,1. White,4. College Grad,118.8843593
2006,58,1. Male,2. Married,1. White,2. HS Grad,79.85490031
2003,38,1. Male,2. Married,1. White,2. HS Grad,104.0049599
2007,63,1. Male,2. Married,1. White,4. College Grad,55.53610442
2007,38,1. Male,2. Married,1. White,5. Advanced Degree,99.6894637
2007,31,1. Male,2. Married,1. White,3. Some College,99.6894637
2007,53,1. Male,2. Married,1. White,4. College Grad,193.4526069
2009,21,1. Male,1. Never Married,2. Black,2. HS Grad,102.8702469
2006,38,1. Male,2. Married,1. White,4. College Grad,164.6469889
2004,18,1. Male,1. Never Married,1. White,1. < HS Grad,69.6190369
2008,28,1. Male,1. Never Married,1. White,3. Some College,99.6894637
2003,33,1. Male,1. Never Married,1. White,4. College Grad,114.4757133
2004,32,1. Male,2. Married,1. White,3. Some College,99.6894637
2009,29,1. Male,1. Never Married,1. White,2. HS Grad,95.23071257
2005,28,1. Male,2. Married,1. White,1. < HS Grad,82.6796373
2005,42,1. Male,2. Married,1. White,5. Advanced Degree,116.9430813
2007,28,1. Male,3. Widowed,1. White,1. < HS Grad,54.59815003
2009,36,1. Male,2. Married,1. White,5. Advanced Degree,138.2991269
2007,47,1. Male,2. Married,1. White,2. HS Grad,130.9821774
2007,53,1. Male,2. Married,1. White,5. Advanced Degree,281.7459706
2003,48,1. Male,2. Married,1. White,5. Advanced Degree,163.515864
2006,36,1. Male,2. Married,1. White,5. Advanced Degree,179.214858
2007,55,1. Male,2. Married,1. White,3. Some College,126.3238807
2008,37,1. Male,2. Married,1. White,1. < HS Grad,70.47601965
2009,68,1. Male,2. Married,1. White,4. College Grad,118.0197533
2003,65,1. Male,2. Married,4. Other,2. HS Grad,71.31963879
2007,37,1. Male,1. Never Married,1. White,4. College Grad,114.4757133
2007,33,1. Male,2. Married,1. White,4. College Grad,138.2991269
2003,19,1. Male,1. Never Married,1. White,2. HS Grad,54.59815003
2004,50,1. Male,2. Married,1. White,4. College Grad,94.07271475
2004,22,1. Male,1. Never Married,1. White,3. Some College,80.43020795
2004,40,1. Male,2. Married,1. White,3. Some College,89.24288466
2008,45,1. Male,2. Married,1. White,3. Some College,117.1468169
2009,36,1. Male,2. Married,1. White,5. Advanced Degree,127.1157438
2005,37,1. Male,2. Married,3. Asian,1. < HS Grad,81.28325328
2003,24,1. Male,1. Never Married,1. White,2. HS Grad,52.40706405
2007,66,1. Male,2. Married,2. Black,1. < HS Grad,99.6894637
2004,35,1. Male,2. Married,3. Asian,1. < HS Grad,63.188861
2009,33,1. Male,1. Never Married,1. White,4. College Grad,196.1252726
2005,44,1. Male,2. Married,1. White,3. Some College,101.8243521
2004,48,1. Male,1. Never Married,1. White,3. Some College,107.9039239
2009,47,1. Male,2. Married,1. White,2. HS Grad,51.23965492
2004,41,1. Male,2. Married,1. White,3. Some College,99.6894637
2005,55,1. Male,2. Married,1. White,4. College Grad,63.188861
2008,74,1. Male,4. Divorced,2. Black,5. Advanced Degree,148.4131591
2007,33,1. Male,1. Never Married,1. White,4. College Grad,99.6894637
2003,62,1. Male,2. Married,1. White,5. Advanced Degree,130.9821774
2004,56,1. Male,4. Divorced,1. White,2. HS Grad,101.8243521
2006,29,1. Male,1. Never Married,1. White,5. Advanced Degree,99.6894637
2009,56,1. Male,1. Never Married,2. Black,1. < HS Grad,79.85490031
2009,47,1. Male,2. Married,2. Black,5. Advanced Degree,160.6424754
2005,45,1. Male,2. Married,1. White,2. HS Grad,134.7053751
2007,44,1. Male,2. Married,1. White,4. College Grad,160.6424754
2004,25,1. Male,1. Never Married,1. White,4. College Grad,91.69922611
2005,45,1. Male,4. Divorced,2. Black,3. Some College,75.35567932
2005,40,1. Male,2. Married,1. White,4. College Grad,136.1577108
2003,56,1. Male,2. Married,1. White,2. HS Grad,134.7053751
2005,56,1. Male,2. Married,3. Asian,3. Some College,81.98531783
2003,47,1. Male,2. Married,3. Asian,4. College Grad,176.9896505
2007,39,1. Male,2. Married,1. White,2. HS Grad,118.8860804
2005,38,1. Male,2. Married,1. White,3. Some College,121.2627457
2009,48,1. Male,2. Married,1. White,2. HS Grad,94.07271475
2005,44,1. Male,2. Married,2. Black,2. HS Grad,99.6894637
2003,42,1. Male,2. Married,1. White,5. Advanced Degree,123.9085676
2009,55,1. Male,2. Married,1. White,2. HS Grad,118.8843593
2006,61,1. Male,1. Never Married,1. White,5. Advanced Degree,82.6796373
2006,39,1. Male,2. Married,1. White,2. HS Grad,81.28325328
2005,30,1. Male,2. Married,2. Black,3. Some College,104.9215065
2009,49,1. Male,4. Divorced,1. White,2. HS Grad,99.6894637
2006,33,1. Male,2. Married,1. White,4. College Grad,136.1577108
2006,31,1. Male,2. Married,1. White,1. < HS Grad,81.28325328
2005,35,1. Male,1. Never Married,3. Asian,2. HS Grad,68.50868966
2003,55,1. Male,2. Married,1. White,2. HS Grad,81.28325328
2008,36,1. Male,2. Married,1. White,2. HS Grad,114.4757133
2003,37,1. Male,2. Married,1. White,2. HS Grad,118.0197533
2006,33,1. Male,2. Married,1. White,2. HS Grad,99.6894637
2006,48,1. Male,2. Married,1. White,2. HS Grad,118.8843593
2004,47,1. Male,2. Married,3. Asian,3. Some College,118.8843593
2003,60,1. Male,2. Married,1. White,3. Some College,123.0896998
2004,28,1. Male,1. Never Married,1. White,4. College Grad,109.8339856
2005,28,1. Male,2. Married,1. White,3. Some College,102.8702469
2005,48,1. Male,2. Married,1. White,4. College Grad,163.515864
2009,29,1. Male,2. Married,1. White,5. Advanced Degree,117.1468169
2004,40,1. Male,1. Never Married,1. White,2. HS Grad,92.30006143
2009,32,1. Male,1. Never Married,1. White,5. Advanced Degree,100.0134869
2004,33,1. Male,4. Divorced,1. White,2. HS Grad,55.06972842
2003,40,1. Male,4. Divorced,1. White,2. HS Grad,101.8243521
2004,42,1. Male,2. Married,1. White,3. Some College,148.4131591
2003,36,1. Male,2. Married,1. White,2. HS Grad,115.3750386
2004,39,1. Male,2. Married,2. Black,1. < HS Grad,73.77574327
2009,44,1. Male,2. Married,1. White,5. Advanced Degree,267.9010869
2009,43,1. Male,2. Married,1. White,2. HS Grad,129.4536446
2008,44,1. Male,2. Married,1. White,1. < HS Grad,96.37065283
2006,29,1. Male,2. Married,3. Asian,5. Advanced Degree,87.98103279
2007,49,1. Male,2. Married,2. Black,3. Some College,104.9215065
2007,47,1. Male,2. Married,2. Black,3. Some College,130.9821774
2004,46,1. Male,2. Married,3. Asian,5. Advanced Degree,190.5476786
2006,41,1. Male,4. Divorced,1. White,1. < HS Grad,118.0197533
2008,52,1. Male,2. Married,1. White,2. HS Grad,79.85490031
2003,43,1. Male,4. Divorced,1. White,2. HS Grad,72.4793163
2004,38,1. Male,2. Married,1. White,5. Advanced Degree,148.4131591
2003,42,1. Male,2. Married,1. White,3. Some College,74.4446382
2005,56,1. Male,2. Married,2. Black,4. College Grad,118.8843593
2003,39,1. Male,2. Married,1. White,2. HS Grad,128.6804882
2005,29,1. Male,2. Married,2. Black,3. Some College,87.98103279
2009,33,1. Male,2. Married,1. White,5. Advanced Degree,267.9010869
2004,33,1. Male,2. Married,1. White,2. HS Grad,104.9215065
2004,41,1. Male,2. Married,1. White,2. HS Grad,92.89584479
2004,44,1. Male,1. Never Married,2. Black,1. < HS Grad,70.47601965
2005,45,1. Male,2. Married,1. White,5. Advanced Degree,200.5432623
2004,58,1. Male,2. Married,1. White,2. HS Grad,102.8702469
2005,29,1. Male,2. Married,1. White,3. Some College,102.8702469
2004,42,1. Male,4. Divorced,1. White,2. HS Grad,65.11085372
2008,68,1. Male,2. Married,1. White,2. HS Grad,109.8339856
2005,47,1. Male,2. Married,1. White,5. Advanced Degree,127.1157438
2005,30,1. Male,2. Married,2. Black,4. College Grad,94.07271475
2005,39,1. Male,2. Married,1. White,1. < HS Grad,67.86252341
2008,42,1. Male,2. Married,1. White,4. College Grad,125.5254984
2006,49,1. Male,2. Married,1. White,3. Some College,165.2087738
2009,36,1. Male,1. Never Married,1. White,2. HS Grad,81.28325328
2003,44,1. Male,2. Married,3. Asian,2. HS Grad,112.6488963
2009,54,1. Male,2. Married,1. White,2. HS Grad,76.89360252
2003,42,1. Male,2. Married,1. White,2. HS Grad,75.04315402
2003,39,1. Male,2. Married,1. White,4. College Grad,128.6804882
2008,30,1. Male,2. Married,3. Asian,2. HS Grad,59.09706408
2004,33,1. Male,1. Never Married,2. Black,2. HS Grad,63.7733912
2003,28,1. Male,2. Married,1. White,2. HS Grad,84.04595765
2003,38,1. Male,2. Married,1. White,2. HS Grad,93.93718158
2005,30,1. Male,2. Married,4. Other,3. Some College,82.6796373
2008,25,1. Male,1. Never Married,1. White,5. Advanced Degree,118.8843593
2007,52,1. Male,2. Married,2. Black,2. HS Grad,81.28325328
2007,26,1. Male,2. Married,1. White,2. HS Grad,66.96164432
2009,54,1. Male,2. Married,1. White,4. College Grad,166.3249412
2005,62,1. Male,2. Married,1. White,4. College Grad,99.6894637
2009,57,1. Male,2. Married,3. Asian,5. Advanced Degree,141.7751723
2003,32,1. Male,2. Married,1. White,4. College Grad,143.1349408
2003,60,1. Male,2. Married,1. White,2. HS Grad,35.03342132
2004,40,1. Male,2. Married,1. White,4. College Grad,109.8339856
2005,49,1. Male,2. Married,1. White,2. HS Grad,111.0144055
2006,54,1. Male,2. Married,1. White,4. College Grad,132.4878211
2009,48,1. Male,1. Never Married,1. White,5. Advanced Degree,148.4131591
2009,35,1. Male,1. Never Married,1. White,1. < HS Grad,73.77574327
2009,46,1. Male,4. Divorced,1. White,2. HS Grad,143.6997101
2007,42,1. Male,2. Married,1. White,2. HS Grad,99.6894637
2004,58,1. Male,2. Married,1. White,4. College Grad,272.2947832
2003,30,1. Male,1. Never Married,1. White,4. College Grad,200.5432623
2008,27,1. Male,1. Never Married,1. White,2. HS Grad,85.38658902
2008,55,1. Male,2. Married,1. White,1. < HS Grad,109.8339856
2004,50,1. Male,2. Married,1. White,2. HS Grad,61.05242105
2006,55,1. Male,4. Divorced,1. White,2. HS Grad,118.8843593
2006,40,1. Male,2. Married,1. White,3. Some College,145.8051634
2005,32,1. Male,2. Married,1. White,2. HS Grad,112.6488963
2006,27,1. Male,2. Married,1. White,2. HS Grad,106.9218141
2007,49,1. Male,2. Married,1. White,3. Some College,106.9218141
2007,50,1. Male,2. Married,1. White,4. College Grad,127.1157438
2006,50,1. Male,2. Married,1. White,1. < HS Grad,87.98103279
2008,44,1. Male,2. Married,1. White,5. Advanced Degree,144.4780877
2007,57,1. Male,2. Married,3. Asian,5. Advanced Degree,160.409702
2008,72,1. Male,2. Married,2. Black,5. Advanced Degree,87.98103279
2006,23,1. Male,1. Never Married,1. White,1. < HS Grad,65.11085372
2007,31,1. Male,1. Never Married,1. White,5. Advanced Degree,176.9896505
2008,36,1. Male,2. Married,1. White,2. HS Grad,54.59815003
2009,63,1. Male,2. Married,2. Black,3. Some College,109.8339856
2006,48,1. Male,2. Married,1. White,1. < HS Grad,81.69842172
2005,46,1. Male,2. Married,1. White,4. College Grad,114.4757133
2003,55,1. Male,2. Married,1. White,4. College Grad,142.6344728
2007,44,1. Male,2. Married,1. White,5. Advanced Degree,160.6424754
2006,44,1. Male,2. Married,1. White,3. Some College,94.07271475
2004,32,1. Male,2. Married,4. Other,1. < HS Grad,54.59815003
2003,60,1. Male,2. Married,1. White,1. < HS Grad,73.77574327
2004,42,1. Male,2. Married,1. White,5. Advanced Degree,160.6424754
2009,48,1. Male,2. Married,2. Black,5. Advanced Degree,148.4131591
2008,36,1. Male,2. Married,1. White,1. < HS Grad,87.98230643
2009,31,1. Male,2. Married,1. White,2. HS Grad,101.8243521
2006,54,1. Male,2. Married,1. White,2. HS Grad,111.7208494
2007,29,1. Male,2. Married,1. White,3. Some College,106.9218141
2003,46,1. Male,4. Divorced,1. White,3. Some College,126.3238807
2003,35,1. Male,4. Divorced,1. White,2. HS Grad,109.8339856
2009,50,1. Male,2. Married,1. White,1. < HS Grad,92.89584479
2005,25,1. Male,2. Married,1. White,3. Some College,54.59815003
2005,33,1. Male,1. Never Married,1. White,3. Some College,96.37065283
2008,34,1. Male,2. Married,1. White,2. HS Grad,114.4757133
2006,51,1. Male,2. Married,2. Black,2. HS Grad,94.07271475
2004,33,1. Male,2. Married,1. White,2. HS Grad,95.23071257
2007,59,1. Male,2. Married,1. White,3. Some College,139.0034081
2006,62,1. Male,5. Separated,2. Black,1. < HS Grad,81.28325328
2005,28,1. Male,5. Separated,1. White,2. HS Grad,94.07271475
2008,40,1. Male,2. Married,1. White,3. Some College,87.98103279
2003,52,1. Male,2. Married,1. White,5. Advanced Degree,138.2991269
2007,29,1. Male,2. Married,1. White,2. HS Grad,89.49247952
2007,34,1. Male,2. Married,1. White,1. < HS Grad,92.89584479
2004,25,1. Male,1. Never Married,1. White,2. HS Grad,54.59815003
2005,66,1. Male,2. Married,1. White,4. College Grad,94.07271475
2005,43,1. Male,2. Married,1. White,2. HS Grad,68.74808773
2007,45,1. Male,2. Married,2. Black,2. HS Grad,92.89584479
2006,35,1. Male,2. Married,1. White,5. Advanced Degree,114.4757133
2005,43,1. Male,2. Married,1. White,2. HS Grad,109.8339856
2007,49,1. Male,2. Married,1. White,4. College Grad,109.8339856
2004,60,1. Male,1. Never Married,2. Black,1. < HS Grad,77.04520085
2003,46,1. Male,2. Married,1. White,2. HS Grad,94.07271475
2009,55,1. Male,2. Married,1. White,2. HS Grad,101.8243521
2006,32,1. Male,2. Married,1. White,3. Some College,118.8843593
2007,53,1. Male,2. Married,1. White,2. HS Grad,133.2323508
2009,57,1. Male,2. Married,1. White,4. College Grad,157.1035043
2007,51,1. Male,2. Married,1. White,5. Advanced Degree,281.7459706
2004,59,1. Male,2. Married,1. White,5. Advanced Degree,182.020621
2006,45,1. Male,2. Married,1. White,3. Some College,119.0992348
2006,56,1. Male,1. Never Married,1. White,2. HS Grad,71.68674367
2005,30,1. Male,2. Married,1. White,2. HS Grad,85.38394038
2006,21,1. Male,1. Never Married,1. White,2. HS Grad,72.15045568
2003,60,1. Male,2. Married,1. White,4. College Grad,138.2991269
2007,60,1. Male,2. Married,1. White,2. HS Grad,101.8243521
2007,48,1. Male,4. Divorced,1. White,1. < HS Grad,109.8339856
2003,39,1. Male,4. Divorced,1. White,4. College Grad,87.98103279
2009,32,1. Male,1. Never Married,1. White,3. Some College,115.3750386
2007,51,1. Male,2. Married,2. Black,5. Advanced Degree,191.5736835
2006,47,1. Male,2. Married,1. White,4. College Grad,86.69515483
2007,44,1. Male,2. Married,1. White,2. HS Grad,75.8522372
2008,46,1. Male,2. Married,1. White,2. HS Grad,166.3249412
2004,28,1. Male,1. Never Married,1. White,4. College Grad,56.90553914
2003,24,1. Male,1. Never Married,1. White,4. College Grad,99.6894637
2006,37,1. Male,2. Married,1. White,2. HS Grad,92.89584479
2006,31,1. Male,2. Married,1. White,2. HS Grad,99.6894637
2004,72,1. Male,2. Married,1. White,2. HS Grad,92.89584479
2008,50,1. Male,2. Married,1. White,3. Some College,101.8243521
2007,36,1. Male,2. Married,1. White,3. Some College,145.1436012
2006,27,1. Male,1. Never Married,2. Black,2. HS Grad,76.89360252
2009,27,1. Male,2. Married,1. White,3. Some College,90.48191336
2004,41,1. Male,2. Married,1. White,4. College Grad,127.1157438
2008,20,1. Male,1. Never Married,1. White,3. Some College,82.6796373
2008,49,1. Male,2. Married,2. Black,2. HS Grad,99.6894637
2007,25,1. Male,1. Never Married,1. White,2. HS Grad,64.15923257
2006,41,1. Male,2. Married,3. Asian,1. < HS Grad,89.49247952
2009,53,1. Male,1. Never Married,1. White,2. HS Grad,87.98103279
2009,45,1. Male,2. Married,1. White,4. College Grad,127.1157438
2003,32,1. Male,2. Married,1. White,1. < HS Grad,66.96164432
2005,47,1. Male,2. Married,1. White,3. Some College,148.4131591
2003,26,1. Male,2. Married,1. White,2. HS Grad,123.0896998
2009,31,1. Male,2. Married,2. Black,3. Some College,133.2323508
2007,32,1. Male,2. Married,3. Asian,5. Advanced Degree,118.8843593
2006,50,1. Male,4. Divorced,1. White,5. Advanced Degree,120.1661196
2007,46,1. Male,2. Married,1. White,2. HS Grad,115.3750386
2006,47,1. Male,2. Married,1. White,5. Advanced Degree,112.6488963
2005,55,1. Male,2. Married,1. White,3. Some College,118.8843593
2005,49,1. Male,2. Married,1. White,4. College Grad,148.4131591
2004,25,1. Male,2. Married,1. White,2. HS Grad,61.18752643
2008,60,1. Male,2. Married,1. White,2. HS Grad,95.68881191
2008,62,1. Male,2. Married,1. White,2. HS Grad,89.24288466
2003,63,1. Male,5. Separated,2. Black,2. HS Grad,127.901233
2004,31,1. Male,1. Never Married,1. White,5. Advanced Degree,128.6804882
2006,29,1. Male,2. Married,1. White,4. College Grad,109.8339856
2008,51,1. Male,2. Married,1. White,2. HS Grad,114.4757133
2007,28,1. Male,2. Married,3. Asian,2. HS Grad,76.12969964
2005,36,1. Male,1. Never Married,1. White,3. Some College,123.0896998
2007,28,1. Male,1. Never Married,1. White,3. Some College,99.6894637
2004,38,1. Male,2. Married,1. White,4. College Grad,102.8702469
2008,35,1. Male,2. Married,1. White,3. Some College,96.37065283
2005,46,1. Male,4. Divorced,1. White,3. Some College,117.1468169
2007,37,1. Male,2. Married,1. White,3. Some College,90.48191336
2005,41,1. Male,4. Divorced,2. Black,3. Some College,104.9215065
2006,59,1. Male,2. Married,2. Black,3. Some College,73.77574327
2006,51,1. Male,2. Married,1. White,3. Some College,107.9039239
2006,26,1. Male,1. Never Married,2. Black,2. HS Grad,99.6894637
2003,34,1. Male,2. Married,2. Black,3. Some College,60.15412466
2004,32,1. Male,2. Married,1. White,2. HS Grad,123.0896998
2007,23,1. Male,1. Never Married,1. White,3. Some College,81.28325328
2004,50,1. Male,2. Married,1. White,2. HS Grad,143.1349408
2009,25,1. Male,1. Never Married,1. White,1. < HS Grad,69.09818381
2004,43,1. Male,2. Married,1. White,2. HS Grad,78.98167452
2009,36,1. Male,2. Married,2. Black,3. Some College,128.6804882
2006,50,1. Male,2. Married,1. White,2. HS Grad,54.59815003
2006,34,1. Male,5. Separated,2. Black,2. HS Grad,134.7053751
2005,34,1. Male,1. Never Married,1. White,2. HS Grad,104.9215065
2005,55,1. Male,2. Married,3. Asian,5. Advanced Degree,277.6014175
2003,39,1. Male,2. Married,2. Black,2. HS Grad,78.21457569
2004,40,1. Male,2. Married,1. White,1. < HS Grad,82.6796373
2005,32,1. Male,2. Married,1. White,3. Some College,117.1468169
2006,63,1. Male,2. Married,1. White,2. HS Grad,118.8843593
2004,38,1. Male,1. Never Married,1. White,2. HS Grad,109.8339856
2008,67,1. Male,2. Married,3. Asian,2. HS Grad,59.09706408
2005,39,1. Male,2. Married,1. White,2. HS Grad,116.2653241
2003,31,1. Male,2. Married,3. Asian,2. HS Grad,61.18752643
2006,41,1. Male,1. Never Married,1. White,3. Some College,114.4757133
2003,47,1. Male,2. Married,1. White,1. < HS Grad,78.3924668
2009,61,1. Male,2. Married,1. White,2. HS Grad,122.2636739
2005,61,1. Male,2. Married,1. White,5. Advanced Degree,148.4131591
2008,21,1. Male,2. Married,4. Other,2. HS Grad,54.59815003
2004,22,1. Male,1. Never Married,1. White,4. College Grad,66.04469423
2003,53,1. Male,2. Married,1. White,4. College Grad,126.9578857
2004,47,1. Male,2. Married,1. White,4. College Grad,81.28325328
2005,36,1. Male,2. Married,1. White,3. Some College,127.901233
2007,36,1. Male,1. Never Married,1. White,2. HS Grad,87.98103279
2005,42,1. Male,2. Married,1. White,2. HS Grad,123.0896998
2004,54,1. Male,4. Divorced,1. White,3. Some College,104.9215065
2004,27,1. Male,2. Married,1. White,3. Some College,87.98103279
2004,36,1. Male,2. Married,1. White,2. HS Grad,131.7378012
2006,35,1. Male,1. Never Married,1. White,2. HS Grad,73.77574327
2003,60,1. Male,2. Married,1. White,2. HS Grad,104.9215065
2005,42,1. Male,5. Separated,1. White,2. HS Grad,91.60261566
2008,41,1. Male,2. Married,2. Black,5. Advanced Degree,123.0896998
2004,35,1. Male,1. Never Married,2. Black,3. Some College,131.6526987
2006,34,1. Male,1. Never Married,2. Black,5. Advanced Degree,309.5717713
2007,22,1. Male,1. Never Married,1. White,2. HS Grad,70.66104767
2007,47,1. Male,2. Married,1. White,2. HS Grad,84.85204409
2004,59,1. Male,2. Married,1. White,2. HS Grad,102.8702469
2007,29,1. Male,1. Never Married,1. White,3. Some College,103.9024706
2006,32,1. Male,1. Never Married,1. White,1. < HS Grad,94.07271475
2003,49,1. Male,2. Married,1. White,4. College Grad,128.6804882
2009,30,1. Male,1. Never Married,1. White,3. Some College,106.3268649
2003,33,1. Male,1. Never Married,3. Asian,2. HS Grad,99.25528683
2007,51,1. Male,2. Married,1. White,2. HS Grad,133.2323508
2003,37,1. Male,2. Married,1. White,2. HS Grad,78.3924668
2003,46,1. Male,2. Married,1. White,3. Some College,130.9821774
2007,63,1. Male,2. Married,1. White,5. Advanced Degree,109.8339856
2005,41,1. Male,2. Married,1. White,2. HS Grad,96.37065283
2005,40,1. Male,2. Married,1. White,2. HS Grad,109.8339856
2007,46,1. Male,2. Married,1. White,5. Advanced Degree,281.7459706
2005,45,1. Male,4. Divorced,1. White,2. HS Grad,94.07271475
2008,48,1. Male,1. Never Married,1. White,4. College Grad,200.5432623
2007,28,1. Male,2. Married,1. White,3. Some College,87.98103279
2009,65,1. Male,4. Divorced,2. Black,2. HS Grad,87.98103279
2005,50,1. Male,1. Never Married,1. White,2. HS Grad,97.49329405
2008,53,1. Male,2. Married,1. White,2. HS Grad,107.9039239
2007,48,1. Male,2. Married,3. Asian,2. HS Grad,95.68881191
